,rgrowth,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,response,isolate,ontology,turnover,pc1,pc2
0,0.059212898661097,0.0004569915253891,0.0002609833093741,8.775934679074492e-05,2.014209122485814e-06,7.493998857065476e-06,0.0013655930596051,0.000455197686535,0.0018207907461402,3.500377124078229e-06,0.0012851301730792,3.500377124078229e-06,0.0814563699253291,positive,Acidobacteriaceae bacterium URHE0068,Amino acids,0.0012886305502032784,-0.04892955446420084,0.017207594723543797
1,0.1273180339660363,0.0004186356670648,0.0006302320998912,7.808256188397855e-06,2.0722723036552347e-06,1.6304508248304576e-06,0.0011260113135369,0.0003753371045123,0.0015013484180493,1.9273249650499466e-06,0.000928878522308,1.9273249650499466e-06,0.1369021975284068,negative,Bacillus sp. URHB0009,Amino acids,0.0009308058472730499,0.06844350669347626,0.06879364121204544
2,0.0975098622465102,0.0002251168908753,0.0004701723510417,9.0258068526403e-06,1.0854670020399986e-06,1.6859381095514874e-06,0.001211306967118,0.0004037689890393,0.0016150759561574,2.0792021559200927e-06,0.0011688501043584,2.0792021559200927e-06,0.1005235726084884,undefined,Blastococcus sp. URHD0036,Amino acids,0.0011709293065143202,-0.0016906939896864928,0.09665307438936549
3,0.0578137689397957,8.465472453791676e-05,0.0002534446408298,0.0001169038707463,3.711103193671079e-07,1.380740598448906e-06,0.0013692644216561,0.0004564214738853,0.0018256858955414,3.236312368773335e-06,0.0012562544834438,3.236312368773335e-06,0.0715056918246732,positive,Bradyrhizobium sp. URHA0002,Amino acids,0.0012594907958125734,-0.11274817606161477,0.05139854577942807
4,0.0606742099160906,0.0001155302072699,0.00024582214252,0.0001477691637077,4.680717411261298e-07,1.7414920098737504e-06,0.0013778394022741,0.000459279800758,0.0018371192030322,3.1492885870484637e-06,0.001266198337204,3.1492885870484637e-06,0.0722294570816159,positive,Bradyrhizobium sp. URHA0013,Amino acids,0.0012693476257910484,-0.11980010906705411,0.02520235786873806
5,0.0685391862259522,0.0001155632376415,0.0002664040183736,0.000101826821326,4.491811557622426e-07,1.671208332004416e-06,0.0014018187521977,0.0004672729173992,0.0018690916695969,3.0828095707521654e-06,0.0013432353952127,3.0828095707521654e-06,0.0780303293537762,positive,Bradyrhizobium sp. URHD0069,Amino acids,0.0013463182047834521,-0.09411822360203186,0.07594185523070286
6,0.0942815088489048,0.000168518730658,0.0004267382683609,9.124142319970476e-05,7.627518077021131e-07,1.0005167110287931e-06,0.0011563691776968,0.0003854563925656,0.0015418255702625,1.920701701429465e-06,0.000835888799015,1.920701701429465e-06,0.0977039501909521,positive,Burkholderia sp. URHA0054,Amino acids,0.0008378095007164295,-0.06446829530629658,0.022187320041980613
7,0.0581653796898316,0.0004210206800144,0.0003163826419456,2.57554065616135e-05,2.29008451018564e-06,8.520411565177688e-06,0.0015415105485414,0.0005138368495138,0.0020553473980552,2.6634271366488297e-06,0.0014645902997862,2.6634271366488297e-06,0.0463660752898303,positive,Caulobacter sp. URHA0033,Amino acids,0.0014672537269228487,-0.037223115963382666,0.08048481560748101
8,0.0779703119173257,0.0004196503766702,0.0004814152026459,2.034943599489847e-06,2.591064036518859e-06,4.024418609912272e-06,0.0012377825951945,0.0004125941983981,0.0016503767935927,2.0720358283136e-06,0.0012474161115307,2.0720358283136e-06,0.0760062791565424,undefined,Cellulomonas sp. URHD0024,Amino acids,0.0012494881473590134,0.026345647409640228,0.030275677530427716
9,0.0631319382050643,0.000288561901691,0.0003963102880269,3.619319434936856e-06,1.8114452624805504e-06,4.118095620849436e-06,0.0013089224696703,0.0004363074898901,0.0017452299595605,2.4146624255812957e-06,0.0013493236246829,2.4146624255812957e-06,0.0636974921513234,undefined,Cellulomonas sp. URHE0023,Amino acids,0.0013517382871084812,-0.014861667458910616,0.06763073019027425
10,0.0468470426971711,9.991144630712076e-05,0.0003622184059432,7.906425181951033e-06,7.725090578457955e-07,1.7562033112857866e-06,0.001200502837054,0.0004001676123513,0.0016006704494054,2.8766420576596283e-06,0.0011642332372292,2.8766420576596283e-06,0.0660161660258785,positive,Comamonadaceae bacterium URHA0028,Amino acids,0.0011671098792868596,-0.05564610281274737,0.07476520326562462
11,0.0491792404316905,0.0001211114285269,0.0002754683555945,4.241103330045495e-05,6.783831097669061e-07,2.523969429237614e-06,0.0013652540881771,0.000455084696059,0.0018203387842361,3.226817857039285e-06,0.0012834889654444,3.226817857039285e-06,0.060270572295184,positive,Dongia sp. URHE0060,Amino acids,0.0012867157833014392,-0.08578686477957344,0.09024638194450181
12,0.061231607051898,0.0004402775458287,0.0004434188549685,1.093147925800801e-05,3.1883429921131705e-06,4.952107200516202e-06,0.0011574822292697,0.0003858274097565,0.0015433096390263,2.0844314722698547e-06,0.0010199886307824,2.0844314722698547e-06,0.0680095206243121,undefined,Flavobacterium sp. URHB0058,Amino acids,0.0010220730622546698,0.01461936016845512,-0.0321993541097406
