rgrowth,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,response,isolate,ontology
0.059212898661097094,0.0004569915253891629,0.0002609833093741614,8.775934679074492e-5,2.014209122485814e-6,7.493998857065476e-6,0.0013655930596051945,0.00045519768653506487,0.0018207907461402595,3.500377124078229e-6,0.0012851301730792523,3.500377124078229e-6,0.08145636992532912,positive,Acidobacteriaceae bacterium URHE0068,Amino acids
0.1273180339660363,0.00041863566706482893,0.0006302320998912787,7.808256188397855e-6,2.0722723036552347e-6,1.6304508248304576e-6,0.0011260113135369793,0.0003753371045123264,0.0015013484180493057,1.9273249650499466e-6,0.0009288785223080954,1.9273249650499466e-6,0.13690219752840685,negative,Bacillus sp. URHB0009,Amino acids
0.09750986224651029,0.0002251168908753125,0.0004701723510417411,9.025806852640301e-6,1.0854670020399986e-6,1.6859381095514874e-6,0.001211306967118076,0.0004037689890393587,0.0016150759561574348,2.0792021559200927e-6,0.0011688501043584014,2.0792021559200927e-6,0.10052357260848843,undefined,Blastococcus sp. URHD0036,Amino acids
0.057813768939795784,8.465472453791676e-5,0.0002534446408298688,0.00011690387074633004,3.711103193671079e-7,1.3807405984489061e-6,0.0013692644216561137,0.00045642147388537125,0.001825685895541485,3.236312368773335e-6,0.0012562544834438757,3.236312368773335e-6,0.07150569182467323,positive,Bradyrhizobium sp. URHA0002,Amino acids
0.06067420991609061,0.00011553020726992404,0.0002458221425200389,0.0001477691637077024,4.6807174112612977e-7,1.7414920098737504e-6,0.0013778394022741568,0.00045927980075805225,0.001837119203032209,3.1492885870484633e-6,0.0012661983372040087,3.1492885870484633e-6,0.07222945708161596,positive,Bradyrhizobium sp. URHA0013,Amino acids
0.06853918622595223,0.0001155632376415505,0.00026640401837363874,0.00010182682132609517,4.491811557622426e-7,1.671208332004416e-6,0.0014018187521977227,0.0004672729173992409,0.0018690916695969636,3.0828095707521654e-6,0.0013432353952127275,3.0828095707521654e-6,0.0780303293537762,positive,Bradyrhizobium sp. URHD0069,Amino acids
0.09428150884890482,0.00016851873065802263,0.0004267382683609205,9.124142319970475e-5,7.627518077021131e-7,1.0005167110287933e-6,0.0011563691776968754,0.00038545639256562514,0.0015418255702625006,1.9207017014294654e-6,0.0008358887990150826,1.9207017014294654e-6,0.09770395019095218,positive,Burkholderia sp. URHA0054,Amino acids
0.05816537968983162,0.00042102068001447575,0.0003163826419456875,2.57554065616135e-5,2.2900845101856394e-6,8.520411565177688e-6,0.00154151054854142,0.0005138368495138067,0.0020553473980552267,2.6634271366488297e-6,0.0014645902997862293,2.6634271366488297e-6,0.04636607528983037,positive,Caulobacter sp. URHA0033,Amino acids
0.07797031191732577,0.00041965037667020895,0.00048141520264595656,2.034943599489847e-6,2.591064036518859e-6,4.0244186099122714e-6,0.001237782595194538,0.0004125941983981793,0.0016503767935927172,2.0720358283136e-6,0.0012474161115307231,2.0720358283136e-6,0.07600627915654246,undefined,Cellulomonas sp. URHD0024,Amino acids
0.06313193820506435,0.000288561901691062,0.0003963102880269135,3.619319434936856e-6,1.8114452624805504e-6,4.118095620849436e-6,0.001308922469670387,0.00043630748989012893,0.0017452299595605157,2.4146624255812953e-6,0.0013493236246829223,2.4146624255812953e-6,0.06369749215132345,undefined,Cellulomonas sp. URHE0023,Amino acids
0.0468470426971711,9.991144630712075e-5,0.0003622184059432851,7.906425181951033e-6,7.725090578457955e-7,1.7562033112857866e-6,0.001200502837054087,0.00040016761235136237,0.0016006704494054495,2.8766420576596283e-6,0.00116423323722921,2.8766420576596283e-6,0.06601616602587852,positive,Comamonadaceae bacterium URHA0028,Amino acids
0.049179240431690585,0.00012111142852695853,0.00027546835559452096,4.241103330045495e-5,6.783831097669061e-7,2.5239694292376146e-6,0.0013652540881771212,0.00045508469605904045,0.0018203387842361618,3.2268178570392846e-6,0.0012834889654444244,3.2268178570392846e-6,0.06027057229518408,positive,Dongia sp. URHE0060,Amino acids
0.06123160705189806,0.00044027754582875094,0.0004434188549685466,1.093147925800801e-5,3.1883429921131705e-6,4.952107200516202e-6,0.001157482229269771,0.0003858274097565903,0.0015433096390263612,2.0844314722698547e-6,0.0010199886307824238,2.0844314722698547e-6,0.06800952062431212,undefined,Flavobacterium sp. URHB0058,Amino acids
0.08768586767685403,0.0003377410124422496,0.00047671828303384674,9.500448248641834e-6,1.8361831823907756e-6,2.6069697872190194e-6,0.0011730183630628542,0.00039100612102095135,0.0015640244840838054,2.0034391586605406e-6,0.0011347884918787967,2.0034391586605406e-6,0.09230446518401647,negative,Geodermatophilaceae bacterium URHA0031,Amino acids
0.07530093039872864,0.00019525430502057356,0.0004348087808914773,4.726804857701538e-6,1.1274533512436074e-6,1.9430814179195766e-6,0.0011933278638136297,0.00039777595460454326,0.001591103818418173,2.210033689382621e-6,0.0011969678583367998,2.210033689382621e-6,0.08432082126422394,negative,Geodermatophilaceae bacterium URHB0048,Amino acids
0.0948755913218459,0.0002829779668834376,0.0005031696654323685,7.305700506752603e-6,1.5007646006490352e-6,2.1307503571216172e-6,0.001230559704638299,0.00041018656821276633,0.0016407462728510653,2.019978925456226e-6,0.0011154137425653625,2.019978925456226e-6,0.09163263659146734,negative,Geodermatophilaceae bacterium URHB0062,Amino acids
0.11331441062701984,0.00041391016352037945,0.00047335945708163623,4.137418398074468e-6,1.72906772581191e-6,3.372596092126287e-6,0.0013924301362143662,0.0004641433787381221,0.0018565735149524885,2.3090648574908585e-6,0.0014164968107971184,2.3090648574908585e-6,0.09842218665688057,undefined,Intrasporangiaceae bacterium URHB0013,Amino acids
0.06322094508721192,0.00012696577716435703,0.00037744164244867993,4.1340696184829226e-7,7.580109946407862e-7,1.7232437668645604e-6,0.0012381171979921632,0.0004127057326640544,0.0016508229306562176,2.7094683921827696e-6,0.0013941245078131527,2.7094683921827696e-6,0.08051944066829989,undefined,Lysobacter sp. URHA0019,Amino acids
0.05275413039514007,0.00014416864055049212,0.00030585540418598617,7.509258985465358e-6,8.358541311596924e-7,3.1098508261414687e-6,0.001458739299060124,0.00048624643302004134,0.0019449857320801654,2.7766016348235943e-6,0.00155090054646863,2.7766016348235943e-6,0.04871001539715307,undefined,Marmoricola sp. URHB0036,Amino acids
0.061661510419844155,0.00014851469236525831,0.00032836732435173404,5.274335652366851e-5,7.90888381209784e-7,2.1982960517090864e-6,0.0013208935477950134,0.00044029784926500443,0.0017611913970600177,2.731617287157937e-6,0.0012260680510825627,2.731617287157937e-6,0.06899708489629408,positive,Mesorhizobium sp. URHA0056,Amino acids
0.055992206588994,0.00015621675118932492,0.00033029683314608456,4.00086021571844e-5,9.215192853704412e-7,2.5613882498879215e-6,0.0013097968753234645,0.0004365989584411548,0.0017463958337646192,2.79329457459702e-6,0.0012293544073020387,2.79329457459702e-6,0.06495922576569284,positive,Mesorhizobium sp. URHB0007,Amino acids
0.05559261469308769,0.0001461099864900955,0.00025203004287761794,0.00012939231315875637,6.623920526718023e-7,2.4644736389265864e-6,0.0013888251264479131,0.0004629417088159711,0.0018517668352638844,2.993827433242119e-6,0.001226478670442671,2.993827433242119e-6,0.06116755384539984,positive,Mesorhizobium sp. URHC0008,Amino acids
0.13503856738535816,0.000416718725587909,0.0005192003404632866,1.7140482380856377e-6,1.6022126744372483e-6,3.1251616833140076e-6,0.0014864800969364906,0.0004954933656454969,0.0019819734625819876,2.479691237226153e-6,0.0015514530153716356,2.479691237226153e-6,0.10864138100868759,undefined,Microbacterium sp. URHA0036,Amino acids
0.06275233759881986,0.0003751624684720611,0.0003773028569144513,9.026804072457903e-5,2.2556908089468286e-6,2.958834481250756e-6,0.0010326235770123592,0.00034420785900411975,0.001376831436016479,2.022338749448465e-6,0.0007952753837476364,2.022338749448465e-6,0.08493892151251058,negative,Micromonosporaceae bacterium URHE0070,Amino acids
0.05241217891187951,8.892113635035562e-5,0.0003527079400114737,0.00010491860619620539,5.983950958868581e-7,9.294221702072478e-7,0.0010806773692476359,0.0003602257897492119,0.0014409031589968477,2.159726730742622e-6,0.0008207832598243739,2.159726730742622e-6,0.06731879014693483,positive,Mycobacterium sp. URHB0044,Amino acids
0.0652971686613935,9.037629021791974e-5,0.0003973825656183027,5.5527438252687144e-5,5.500079530874842e-7,9.478975180422853e-7,0.0011662385728710713,0.0003887461909570237,0.0015549847638280949,2.2086482139459806e-6,0.0010560987839294271,2.2086482139459806e-6,0.07520536015662045,positive,Mycobacterium sp. URHD0025,Amino acids
