isolate,response,sample,relabundance,measurement,rgrowth,BR,BP,CUE,biomass
Bradyrhizobium sp. URHA0002,positive,week3,0.10302855036384809,0.09814241483667702,0.0013888156604008328,8.628617332014649e-9,1.2146979960738008e-8,0.5909596757884814,8.84378514843432e-6
Bradyrhizobium sp. URHA0013,positive,week3,0.0959251947196884,0.09876160990833122,0.0027848843719297765,5.1780700639110574e-8,3.052746252510584e-8,0.3739750009302698,8.234045897246042e-6
Paenibacillus sp. URHA0014,negative,week3,0.001263559152598511,0.0012383900695375053,0.0024033372956719784,3.490166470721644e-10,3.638869061779682e-10,0.5131489457688734,1.0846164124852195e-7
Lysobacter sp. URHA0019,undefined,week3,0.0005592017314265571,0.0,0.0014461489304133021,5.190806622131781e-11,7.420192721740382e-11,0.5927321377845074,4.800086917562092e-8
Nocardioides sp. URHA0020,undefined,week3,0.0016842739147780576,0.0012383900695375053,0.0014996532926492038,1.7494688527698262e-10,2.355375700081063e-10,0.5781147122898864,1.4457503848017047e-7
Comamonadaceae bacterium URHA0028,positive,week3,0.013189664891789875,0.04551083588542592,0.001379146140865174,1.2503106782532188e-9,1.8748035684738056e-9,0.6040627263201617,1.1321770719950578e-6
Geodermatophilaceae bacterium URHA0031,negative,week3,0.021115688208458744,0.026934984547279748,0.001504903679919262,4.646201213851216e-9,3.5587736478479366e-9,0.4378861733250796,1.8125326340849271e-6
Nocardioides sp. URHA0032,undefined,week3,0.002637166853537269,0.001857585141191707,0.0023202207431799677,4.75482547996951e-10,9.228250517144428e-10,0.6631311348729826,2.2636965162464192e-7
Caulobacter sp. URHA0033,positive,week3,0.002273875871798769,0.016408668771783708,0.003035611888298464,8.427382770139465e-10,8.57242431982565e-10,0.5072745918855074,1.9518540825217146e-7
Microbacterium sp. URHA0036,undefined,week3,0.0019338824325220332,0.001857585141191707,0.0027392557277304366,4.806637904647717e-10,6.360404379752637e-10,0.572434037344745,1.6600098395209147e-7
Streptomyces sp. URHA0041,positive,week3,0.010176036841013677,0.013003095988341947,0.0020224848970301244,1.31312899816394e-9,1.7853179707858686e-9,0.5797560348165538,8.734926694266649e-7
Burkholderia sp. URHA0054,positive,week3,0.010637751579694764,0.011455108346091893,0.0017932636737832562,1.1207946532829693e-9,1.872551061344525e-9,0.6290558609399806,9.131254307762202e-7
Mesorhizobium sp. URHA0056,positive,week3,0.0030545653689548085,0.01083591334820859,0.0025508299504056805,8.329347773623225e-10,8.468548035914143e-10,0.5080687673103257,2.6219838820874363e-7
Staphylococcus sp. URHA0057,undefined,week3,7.605210703919144e-7,0.0,0.0026943993443903696,2.4633026491720746e-13,2.3695118787434663e-13,0.4932475341511614,6.528175853829586e-11
Mesorhizobium sp. URHB0007,positive,week3,0.004791883520801747,0.013622290986225251,0.00283914017754661,1.331435372796463e-9,1.4820490811521177e-9,0.5293045860736385,4.113266484351496e-7
Bacillus sp. URHB0009,negative,week3,0.13551832397446567,0.12631578945349425,0.0027085970873340485,4.8377043451292485e-8,4.645486372185389e-8,0.4925066694009881,1.1632648782047047e-5
Intrasporangiaceae bacterium URHB0013,undefined,week3,0.00406694367495453,0.004024767855095963,0.0026559081784528578,1.2694082134504941e-9,1.5395091142351879e-9,0.5506803131364376,3.4909911810913305e-7
Pseudomonas sp. URHB0015,positive,week3,0.0006931783428794953,0.006811145493112626,0.002818005209070712,1.3743624314983472e-10,1.8768352297508055e-10,0.5797712289965109,5.9501180132347815e-8
Variovorax sp. URHB0020,positive,week3,0.040899091302181265,0.056037151660921956,0.002630011048973095,7.393410296656548e-9,1.403667429355118e-8,0.657140574674214,3.5107043141471655e-6
Marmoricola sp. URHB0036,undefined,week3,0.002366733620774169,0.0024767802128459085,0.001683306475614176,3.0800536327442513e-10,4.287952795506907e-10,0.5855801822250154,2.0315615013299522e-7
Mycobacterium sp. URHB0044,positive,week3,0.00930346824635573,0.010216718276554387,0.0017846896222476604,1.211721313153214e-9,1.7294493995837305e-9,0.5916009658884742,7.985929532686288e-7
Geodermatophilaceae bacterium URHB0048,negative,week3,0.08092799199241821,0.08111455106701,0.001388420571242554,8.587645291424078e-9,1.1453008306485191e-8,0.5759837269721559,6.946713033888292e-6
Flavobacterium sp. URHB0058,undefined,week3,0.0009537726124706515,0.0,0.002959372402807019,3.6101889441577107e-10,4.355719106373597e-10,0.5490608281405852,8.18701227510536e-8
Geodermatophilaceae bacterium URHB0062,negative,week3,0.0408376081288579,0.055417956663038656,0.0016840131624450833,7.739045168551827e-9,5.745928657264405e-9,0.4315362727684111,3.505426709316315e-6
Mesorhizobium sp. URHC0008,positive,week3,0.0014600019743247182,0.004643962852979267,0.0020532776247231613,2.962727710163019e-10,2.609873599987117e-10,0.4719395370261358,1.2532393915685365e-7
Sphingomonas sp. URHD0007,positive,week3,0.11800729090205503,0.06934984514820555,0.0021345392361574976,2.4176489548068504e-8,2.6034611600882463e-8,0.521481331789274,1.0129533250744104e-5
Rhodospirillales bacterium URHD0017,positive,week3,0.0017921683383006848,0.0027863777117875604,0.0036078644101073657,5.255351365912843e-10,4.2161098628022273e-10,0.4481518771469991,1.5383650141426523e-7
Cellulomonas sp. URHD0024,undefined,week3,0.0006965517231923521,0.0,0.0027223504880260993,1.417989895179921e-10,1.9207205428890454e-10,0.57802489096036,5.979074502096855e-8
Mycobacterium sp. URHD0025,positive,week3,0.005028222486773022,0.01052631577549604,0.001317622138493924,1.4437362347144158e-9,6.629886927515534e-10,0.32181061250734755,4.316135594891413e-7
Blastococcus sp. URHD0036,undefined,week3,0.0012660463922311673,0.0009287925705958535,0.001780292248447493,3.78876832417726e-10,3.8762325789043606e-10,0.5091425518293439,1.0867514141761297e-7
Sphingomonas sp. URHD0057,positive,week3,0.057074474635753256,0.041486068104100854,0.001292802960532051,6.622946697043281e-9,3.922832918471296e-9,0.3797303792750567,4.899170078156126e-6
Solirubrobacterales bacterium URHD0059,negative,week3,0.015174385508273104,0.01919504648357127,0.0015906653225299567,1.831851950260388e-9,1.4606044773663353e-9,0.44963669077966795,1.3025419140690156e-6
Bradyrhizobium sp. URHD0069,positive,week3,0.1201895086933063,0.09876160990833122,0.00193038063963252,1.371551756374404e-8,2.220354533930896e-8,0.6219318116490258,1.0316850894491998e-5
Solirubrobacter sp. URHD0082,negative,week3,0.06632802048873412,0.057585139303172016,0.0017880798963761876,8.120661971012399e-9,1.350692905813044e-8,0.6278927531503826,5.693477783116944e-6
Rhodospirillales bacterium URHD0088,undefined,week3,0.003416394629903411,0.0024767802128459085,0.004005140633175145,6.953152953025999e-10,1.3092751694087578e-9,0.6553428114670494,2.9325716010202505e-7
Cellulomonas sp. URHE0023,undefined,week3,0.002117873519458117,0.0012383900695375053,0.003416810673834268,3.482819829467488e-10,6.631475015580727e-10,0.6576802511625881,1.8179444737891058e-7
Dongia sp. URHE0060,positive,week3,0.01647428237047521,0.004334365354037615,0.006338099866960732,2.027301654235946e-8,1.5719906641946274e-8,0.4383345787119858,1.4141227188443995e-6
Acidobacteriaceae bacterium URHE0068,positive,week3,0.00018106271280998875,0.00030959757271254964,0.0016989918055921767,3.975523412623072e-11,2.127760682086362e-11,0.35434906765103835,1.554209706755307e-8
Micromonosporaceae bacterium URHE0070,negative,week3,0.00295454775707013,0.003095975210729212,0.002256174659045043,4.738121083342189e-10,3.4093909501439916e-10,0.42346166651832096,2.536130565948965e-7
Bradyrhizobium sp. URHA0002,positive,week6,0.05922590331338934,0.08982376343317994,0.0034919478824034667,2.8091988826958565e-8,4.587466128601274e-8,0.6237172897949188,1.321287380469729e-5
Bradyrhizobium sp. URHA0013,positive,week6,0.11396618209022392,0.09238203524876282,0.008019721081688136,4.431622050948592e-7,2.631891805396382e-7,0.3742014641764463,2.542503698075056e-5
Paenibacillus sp. URHA0014,negative,week6,0.0012805961194485658,0.0017055144985674777,0.006222786717800931,2.2822164858989666e-9,2.4028503788843743e-9,0.5143053308359975,2.8569179994648947e-7
Lysobacter sp. URHA0019,undefined,week6,0.0003406180674180626,0.0,0.0036933171499191463,1.7769529568921877e-10,3.0587473692439247e-10,0.6343513819178868,7.598944530369512e-8
Nocardioides sp. URHA0020,undefined,week6,0.0010603542089318758,0.0011370096431344298,0.003894694643293799,6.201752346836636e-10,1.0354176529474056e-9,0.6272285480472068,2.365574109821834e-7
Comamonadaceae bacterium URHA0028,positive,week6,0.008267558571926315,0.04519613414430649,0.003542748405766579,4.514027030878568e-9,7.85318605625841e-9,0.636803375533809,1.8444329587643452e-6
Geodermatophilaceae bacterium URHA0031,negative,week6,0.0149528466638173,0.025298465016929804,0.00430030264250085,2.196959962973735e-8,1.878280884797468e-8,0.46265921374337826,3.335872733668238e-6
Nocardioides sp. URHA0032,undefined,week6,0.0033798874212593298,0.0017055144985674777,0.006277807941707448,4.0564641493190955e-9,8.064280824426124e-9,0.6675153227188972,7.54028617088012e-7
Caulobacter sp. URHA0033,positive,week6,0.003095321710197731,0.04206935760875389,0.007777989479500393,7.3900750781908e-9,7.551088266751102e-9,0.5073941656272609,6.905440500480554e-7
Microbacterium sp. URHA0036,undefined,week6,0.002216259565708294,0.0019897669601498342,0.0068772411090927505,3.468962881967035e-9,4.616201956618317e-9,0.5727769400780751,4.94431597019421e-7
Streptomyces sp. URHA0041,positive,week6,0.006963066696154775,0.011938601489972342,0.004945599259705434,5.443139512091008e-9,7.517771855788376e-9,0.5818362395116563,1.5534101871466837e-6
Burkholderia sp. URHA0054,positive,week6,0.007389773389552183,0.01392836838239051,0.004551504995963634,4.737978045664979e-9,8.388507124587037e-9,0.6407769143839707,1.648605386815424e-6
Mesorhizobium sp. URHA0056,positive,week6,0.003040270407407307,0.02131893123209347,0.006837333686614182,5.538982510789559e-9,5.699134928020592e-9,0.5097301394086011,6.78262499647631e-7
Staphylococcus sp. URHA0057,undefined,week6,8.465013825227268e-7,0.0,0.0071499811255359355,1.8172476865273285e-12,1.758872401128649e-12,0.4935779392866174,1.8884838081052993e-10
Mesorhizobium sp. URHB0007,positive,week6,0.005178002918926741,0.030983513368065287,0.007206996070082838,9.159633195298626e-9,1.0268898509749606e-8,0.5299579998900286,1.1551752746786086e-6
Bacillus sp. URHB0009,negative,week6,0.1686805596320237,0.08186469586350725,0.007269009706313916,4.0414297190346307e-7,3.910834082101247e-7,0.493260538379542,3.763142177723079e-5
Intrasporangiaceae bacterium URHB0013,undefined,week6,0.005613733393077815,0.003979533852568003,0.006919675760029651,1.1426075347043457e-8,1.393786466148977e-8,0.5510875624814091,1.2523836150454071e-6
Pseudomonas sp. URHB0015,positive,week6,0.0006401282681458738,0.0005685048554330477,0.006675604770250259,7.558441490245973e-10,1.0382683289375578e-9,0.5800673357148365,1.4280802069115513e-7
Variovorax sp. URHB0020,positive,week6,0.04917183585873238,0.06083001702526447,0.0066152837656169175,5.583155410173726e-8,1.0705895181101265e-7,0.658481076101044,1.0969883540802668e-5
Marmoricola sp. URHB0036,undefined,week6,0.0016872127976594491,0.0017055144985674777,0.004390957187937752,1.3669645578411608e-9,2.0268439331407795e-9,0.5989728533958765,3.764050614675006e-7
Mycobacterium sp. URHB0044,positive,week6,0.006705820904584705,0.007390562849702958,0.004604745262983463,5.439587083318694e-9,8.146058697747089e-9,0.6014270805478444,1.496020497996322e-6
Geodermatophilaceae bacterium URHB0048,negative,week6,0.051166867246535706,0.06281978398541431,0.0036388516920446328,3.116082273810979e-8,5.041370206504031e-8,0.6200195450308624,1.1414960719684566e-5
Flavobacterium sp. URHB0058,undefined,week6,0.0017132687173888911,0.0,0.007695557211482763,4.235679022336773e-9,5.13195196044642e-9,0.5491944164131225,3.822179500853195e-7
Geodermatophilaceae bacterium URHB0062,negative,week6,0.02577655740831988,0.04263786239645528,0.004477929818663021,3.0522803059047535e-8,2.54696714427645e-8,0.45785135065385374,5.750564889715567e-6
Mesorhizobium sp. URHC0008,positive,week6,0.0010584408657088589,0.008811824886688078,0.00552559107879527,1.3582978026421614e-9,1.3509119364161403e-9,0.5002243054732991,2.361305578463684e-7
Sphingomonas sp. URHD0007,positive,week6,0.0968387100501629,0.1111426946652734,0.005646045700609921,1.2752029177138292e-7,1.4446480243974032e-7,0.532505564898206,2.1604020938811244e-5
Rhodospirillales bacterium URHD0017,positive,week6,0.001503376723247138,0.0022740193540005255,0.008927031700658417,2.753668564806336e-9,2.227614321514049e-9,0.4488621878607706,3.353925531549144e-7
Cellulomonas sp. URHD0024,undefined,week6,0.0006630012788703486,0.0,0.006678963833664727,8.30064827432653e-10,1.133237241160798e-9,0.5787870379397697,1.4791082516231378e-7
Mycobacterium sp. URHD0025,positive,week6,0.0031149137821818947,0.007390562849702958,0.0037867744888844894,6.093862576206498e-9,3.0459327618295824e-9,0.3372765259137922,6.949149006424232e-7
Blastococcus sp. URHD0036,undefined,week6,0.0014705483582001507,0.0008527572492837388,0.00534273440514417,3.210401310573375e-9,3.3887818656436556e-9,0.5149538605225739,3.2806878061091136e-7
Sphingomonas sp. URHD0057,positive,week6,0.029436453189415554,0.06537805566553385,0.0033557273678641794,1.5808825130699004e-8,1.8807203272435746e-8,0.5459541688992415,6.567061361505619e-6
Solirubrobacterales bacterium URHD0059,negative,week6,0.008108006170541589,0.016486640130241727,0.004001920350008033,5.828712926117532e-9,5.1409940626915174e-9,0.47137488376120384,1.8088379635546024e-6
Bradyrhizobium sp. URHD0069,positive,week6,0.08633402659975357,0.09238203524876282,0.004893815399567224,5.901301842784525e-8,1.0407705125296004e-7,0.6402112969112943,1.9260501481554232e-5
Solirubrobacter sp. URHD0082,negative,week6,0.05081747389225202,0.04093234789788779,0.004589217727719546,3.7829756438235647e-8,6.779209758558946e-8,0.643611487561703,1.1337013570885123e-5
Rhodospirillales bacterium URHD0088,undefined,week6,0.004537119164394727,0.0022740193540005255,0.00943079211861132,5.5032760324537034e-9,1.0423155818311125e-8,0.655924131984732,1.012198710398875e-6
Cellulomonas sp. URHE0023,undefined,week6,0.0022256101065877072,0.0008527572492837388,0.007932243619261314,2.1448837978482887e-9,4.110170941783483e-9,0.6582443831454036,4.965176355554921e-7
Dongia sp. URHE0060,positive,week6,0.17058276012522672,0.007674815243553649,0.01703095508920155,1.4313564148685298e-6,1.1186038297049595e-6,0.439538192447405,3.805578905002581e-5
Acidobacteriaceae bacterium URHE0068,positive,week6,0.00010771131765506959,0.0005685048554330477,0.004650708198093307,1.4858592444466288e-10,9.714517406235161e-11,0.3982614389195952,2.402962163334969e-8
Micromonosporaceae bacterium URHE0070,negative,week6,0.0016883765035889092,0.0017055144985674777,0.005738390442832533,1.6724668308279016e-9,1.2982234709837333e-9,0.43930393576495663,3.7666467590529775e-7
Bradyrhizobium sp. URHA0002,positive,week9,0.0067042890678230245,0.0907542578774968,0.0015417315301964793,2.326489212484829e-8,3.6093161753433384e-8,0.6132489712463624,2.137663023437311e-5
Bradyrhizobium sp. URHA0013,positive,week9,0.03633316910610567,0.09245742087717804,0.003524918866516431,9.154452307829036e-7,6.576358861531478e-7,0.4202888923461111,0.00011584833430763277
Paenibacillus sp. URHA0014,negative,week9,0.0003169907062319818,0.00048661802475564314,0.003143551569336021,4.151478473370175e-9,4.958431302050568e-9,0.5462517897109425,1.0107250815565133e-6
Lysobacter sp. URHA0019,undefined,week9,4.285216071082119e-5,0.0,0.001787278371733789,1.7348824466916418e-10,2.875823379738745e-10,0.6268848939002167,1.366341434553634e-7
Nocardioides sp. URHA0020,undefined,week9,0.0001389112822975685,0.0007299270081456302,0.0018114999512451565,6.205077091141827e-10,9.712944403925712e-10,0.6133795189954209,4.429187177070759e-7
Comamonadaceae bacterium URHA0028,positive,week9,0.001066182624216304,0.035523114357770225,0.0016416154110831793,4.341485537115867e-9,7.389449805328493e-9,0.6330426889897209,3.399524019567102e-6
Geodermatophilaceae bacterium URHA0031,negative,week9,0.0023377693705682423,0.017518248195495127,0.0018391576118420483,2.289635138383992e-8,2.106659209170082e-8,0.4821945409497912,7.453979221708531e-6
Nocardioides sp. URHA0032,undefined,week9,0.0011720814778263856,0.0019464720410469036,0.0030358018417070394,9.996203399896196e-9,2.1747913420606997e-8,0.6875579621838368,3.737182586040847e-6
Caulobacter sp. URHA0033,positive,week9,0.001045852832919643,0.03819951340696276,0.003585825116097821,1.7062177704441258e-8,1.9773387166683622e-8,0.5391898725143154,3.334702466245892e-6
Microbacterium sp. URHA0036,undefined,week9,0.000576131786934673,0.0014598540162912605,0.003036528582389639,6.037900757466114e-9,8.791694463017028e-9,0.5951983648989811,1.836996592924391e-6
Streptomyces sp. URHA0041,positive,week9,0.0009851763631748233,0.014598540162912604,0.002356988171786477,5.493463769805476e-9,8.165831978000802e-9,0.6006431898380395,3.14123550136108e-6
Burkholderia sp. URHA0054,positive,week9,0.0010506898265149132,0.02092457419485762,0.0019950676192078843,4.652412729961605e-9,8.418738389259037e-9,0.6469063802437776,3.3501252236010864e-6
Mesorhizobium sp. URHA0056,positive,week9,0.0007074096496490291,0.03187347931704207,0.0029865881954890057,8.438329252942699e-9,9.709312811418466e-9,0.5381685486903445,2.255576147119363e-6
Staphylococcus sp. URHA0057,undefined,week9,2.3483159903894787e-7,0.0,0.0034919773034827973,3.5801766995511082e-12,3.83373569524825e-12,0.5193841978087562,7.487607126153034e-10
Mesorhizobium sp. URHB0007,positive,week9,0.0013268091938674702,0.04841849146302591,0.0034486635312481638,1.6539061808312943e-8,2.0733983729086147e-8,0.5582178385753527,4.230532013453492e-6
Bacillus sp. URHB0009,negative,week9,0.05342280418207681,0.06885644769110355,0.003303522549487226,8.610074569148947e-7,9.508879349432621e-7,0.5268008189503253,0.00017033864732422707
