,rgrowth,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,response,isolate,ontology,turnover,pc1,pc2
0,0.0592129349786071,0.0004569918056793,0.0002609833220856,8.775949366414207e-05,2.014209220589878e-06,7.493999222068164e-06,0.0013655931233387,0.0004551977077795,0.0018207908311183,3.500377293382409e-06,0.0012851323128489,3.500377293382409e-06,0.0814564229476961,positive,Acidobacteriaceae bacterium URHE0068,Amino acids,0.0012886326901422824,-0.04892988720314437,0.017207194934061514
1,0.1273180345507785,0.0004186356689875,0.0006302320958019,7.808247116881881e-06,2.0722722902090195e-06,1.63045081425106e-06,0.001126011313003,0.0003753371043343,0.0015013484173374,1.9273247857589925e-06,0.0009288774460673,1.9273247857589925e-06,0.1369021982126228,negative,Bacillus sp. URHB0009,Amino acids,0.000930804770853059,0.06844455041801065,0.06877939767655143
2,0.0975098635570892,0.0002251168939009,0.0004701723477779,9.02580759868525e-06,1.0854669945051198e-06,1.685938097848378e-06,0.0012113069656478,0.0004037689885492,0.0016150759541971,2.079202141599901e-06,0.0011688502005776,2.079202141599901e-06,0.1005235740418052,undefined,Blastococcus sp. URHD0036,Amino acids,0.0011709294027192,-0.0016896166081528199,0.09665395347900219
3,0.0578137644694297,8.465471799211272e-05,0.0002534446372201,0.000116903880392,3.7111031408149385e-07,1.3807405787834284e-06,0.0013692644023895,0.0004564214674631,0.0018256858698527,3.2363123227547515e-06,0.0012562545865855,3.2363123227547515e-06,0.0715056860033254,positive,Bradyrhizobium sp. URHA0002,Amino acids,0.0012594908989082547,-0.11274655050487972,0.05141137189618459
4,0.0606742088480223,0.0001155302052362,0.0002458221437499,0.0001477691598555,4.680717434679386e-07,1.7414920185866055e-06,0.0013778394091088,0.0004592798030362,0.0018371192121451,3.1492886027768995e-06,0.001266198304359,3.1492886027768995e-06,0.0722294557431083,positive,Bradyrhizobium sp. URHA0013,Amino acids,0.001269347592961777,-0.11979871197886681,0.025215412130338937
5,0.0685391848575742,0.0001155632353343,0.0002664040190681,0.000101827139379,4.491811569332162e-07,1.6712083363611015e-06,0.0014018187547191,0.0004672729182397,0.0018690916729588,3.082809578538803e-06,0.0013432395695604,3.082809578538803e-06,0.0780303276910651,positive,Bradyrhizobium sp. URHD0069,Amino acids,0.0013463223791389386,-0.09411699394094801,0.07595642666189377
6,0.0942814987239441,0.0001685187125606,0.000426738267646,9.124106613982622e-05,7.627518064244048e-07,1.0005167093527976e-06,0.0011563691763574,0.0003854563921191,0.0015418255684766,1.9207016983558403e-06,0.0008358855386214,1.9207016983558403e-06,0.0977039391859538,positive,Burkholderia sp. URHA0054,Amino acids,0.0008378062403197558,-0.06446507232828166,0.02218306575313676
7,0.0581653443661151,0.0004210204243294,0.0003163826004151,2.575533201371076e-05,2.2900842095738137e-06,8.520410446731417e-06,0.0015415103464533,0.0005138367821511,0.0020553471286044,2.6634267872478317e-06,0.0014645860824671,2.6634267872478317e-06,0.0463660461299106,positive,Caulobacter sp. URHA0033,Amino acids,0.0014672495092543478,-0.03722471833436663,0.08048603026417647
8,0.0779704641072309,0.0004196511957839,0.000481415262687,2.034955902223073e-06,2.591064359670686e-06,4.024419111828938e-06,0.0012377826600813,0.0004125942200271,0.0016503768801085,2.072036086521159e-06,0.0012474236209712,2.072036086521159e-06,0.076006434329927,undefined,Cellulomonas sp. URHD0024,Amino acids,0.0012494956570577212,0.02634522603148755,0.03026541405795803
9,0.0631319669605418,0.0002885620331258,0.0003963102960445,3.6193309259548455e-06,1.8114452991273512e-06,4.118095704161382e-06,0.00130892249354,0.0004363074978466,0.0017452299913867,2.4146624744169384e-06,0.0013493278876849,2.4146624744169384e-06,0.0636975224320165,undefined,Cellulomonas sp. URHE0023,Amino acids,0.001351742550159317,-0.014861940954317681,0.06763036847153357
10,0.0468471002282267,9.991156900453433e-05,0.0003622184229734,7.906424410585845e-06,7.72509094166392e-07,1.756203393856148e-06,0.0012005028930686,0.0004001676310228,0.0016006705240915,2.876642192893607e-06,0.0011642331241659,2.876642192893607e-06,0.0660162507851696,positive,Comamonadaceae bacterium URHA0028,Amino acids,0.0011671097663587936,-0.05564444943310492,0.07476772416274104
11,0.0491791129392357,0.0001211111145572,0.0002754682754675,4.241091641543186e-05,6.783829124418676e-07,2.5239686950767e-06,0.0013652536917917,0.0004550845639305,0.0018203382557223,3.2268169188294997e-06,0.0012834854469576,3.2268169188294997e-06,0.0602704090190439,positive,Dongia sp. URHE0060,Amino acids,0.0012867122638764296,-0.0857859249437662,0.09025524149815418
