isolate,response,sample,relabundance,measurement,rgrowth,BR,BP,CUE,biomass
Bradyrhizobium sp. URHA0002,positive,week3,0.00015568332356085247,0.09814241483667702,-0.00013454617756939263,3.3781780935917787e-9,-3.951064560222424e-9,-61.05938314077491,2.4703366140027653e-5
Bradyrhizobium sp. URHA0013,positive,week3,0.004185685998520824,0.09876160990833122,-0.0001323361766015455,1.4119047390438256e-8,-3.0653215599657255e-8,-0.7449423700695164,0.000664172188797284
Paenibacillus sp. URHA0014,negative,week3,1.8968911321079515e-5,0.0012383900695375053,-0.00013388800906733524,4.89222541213503e-11,-1.1975400395478164e-10,-1.9808006955516246,3.0099303568579145e-6
Lysobacter sp. URHA0019,undefined,week3,1.0017874546271145e-6,0.0,-0.00013388467809965314,3.0021001062567075e-11,-3.357065773720736e-11,-54.60274200595758,1.5896064986348266e-7
Nocardioides sp. URHA0020,undefined,week3,3.2249279524224517e-6,0.0012383900695375053,-0.00013392126032011443,1.2183629789272557e-10,-1.3329997752081318e-10,-67.2754434057562,5.117219632889065e-7
Comamonadaceae bacterium URHA0028,positive,week3,2.6693413665715086e-5,0.04551083588542592,-0.00013397970222462865,6.62014040278874e-10,-7.575633971345917e-10,-43.099518536668306,4.235631384459934e-6
Geodermatophilaceae bacterium URHA0031,negative,week3,8.444937687102071e-5,0.026934984547279748,-0.00013399800308673402,2.512644200826854e-9,-2.842026489381035e-9,-34.14250339643148,1.3400175622063808e-5
Nocardioides sp. URHA0032,undefined,week3,0.00010104457283758397,0.001857585141191707,-0.00013320903131752338,6.709916479398085e-10,-1.0210960361755772e-9,-5.076054475651908,1.603345189566084e-5
Caulobacter sp. URHA0033,positive,week3,8.22605579287279e-5,0.016408668771783708,-0.00013327441152233025,8.647028024655352e-11,-3.765754568483812e-10,0.10815482321490733,1.3052860350852038e-5
Microbacterium sp. URHA0036,undefined,week3,3.270257576938151e-5,0.001857585141191707,-0.0001333976868131585,3.9885248186030394e-11,-1.5202408841778253e-10,-0.2807350934426376,5.189147331102908e-6
Streptomyces sp. URHA0041,positive,week3,2.9893770064303875e-5,0.013003095988341947,-0.00013244685996952757,6.773815157262859e-11,-1.6294738953503784e-10,-1.553073081539993,4.743454406763391e-6
Burkholderia sp. URHA0054,positive,week3,3.331261597898549e-5,0.011455108346091893,-0.00013416086028629546,3.579791401042164e-10,-4.77825835257649e-10,-21.173170693415766,5.28594669479388e-6
Mesorhizobium sp. URHA0056,positive,week3,4.060836982779596e-5,0.01083591334820859,-0.0001322602278841977,1.4334118741568689e-10,-2.6816653575283836e-10,-1.5921371183747346,6.443615187940058e-6
Staphylococcus sp. URHA0057,undefined,week3,1.5754648702966925e-8,0.0,-0.00013327280736010171,4.4530684488012647e-14,-9.973691633171235e-14,-1.5292768360777873,2.499900737054721e-9
Mesorhizobium sp. URHB0007,positive,week3,7.664412797482452e-5,0.013622290986225251,-0.00013322620322095283,1.1968647422179173e-10,-3.7835903667432375e-10,-0.5613842100996322,1.2161661972132545e-5
Bacillus sp. URHB0009,negative,week3,0.004431535907809108,0.12631578945349425,-0.0001330039606371046,1.1205671791594186e-8,-2.6787669311562814e-8,-0.8970009240422214,0.0007031829202342137
